Date,Month,Day,Price,Open,High,Low,Volume,Chg%
"Jun 29, 2021",Jun,Tue,2081.85,2092,2126.9,2065.05,1.67M,0.002
"Jun 28, 2021",Jun,Mon,2077.75,2084,2112.45,2068.4,707.73K,0.0043
"Jun 25, 2021",Jun,Fri,2068.85,2084.35,2088.5,2053.1,475.82K,-0.002
"Jun 24, 2021",Jun,Thu,2072.95,2098,2098,2066,541.51K,-0.0026
"Jun 23, 2021",Jun,Wed,2078.25,2102,2111.4,2072,809.62K,-0.0023
"Jun 22, 2021",Jun,Tue,2083,2100,2128.35,2075,1.29M,0.003
"Jun 21, 2021",Jun,Mon,2076.85,2000,2093.75,1981.15,1.69M,0.0324
"Jun 18, 2021",Jun,Fri,2011.7,2070.25,2070.25,1978.65,1.30M,-0.0189
"Jun 17, 2021",Jun,Thu,2050.4,2070,2088.95,2036.4,754.28K,-0.0189
"Jun 16, 2021",Jun,Wed,2089.95,2109.45,2121.95,2075.3,856.94K,-0.0038
"Jun 15, 2021",Jun,Tue,2097.95,2071,2139.85,2062,1.91M,0.0163
"Jun 14, 2021",Jun,Mon,2064.4,2089.95,2092,2025,1.00M,-0.014
"Jun 11, 2021",Jun,Fri,2093.75,2115,2132,2081,844.06K,-0.006
"Jun 10, 2021",Jun,Thu,2106.35,2093.5,2121,2051.65,1.80M,0.017
"Jun 09, 2021",Jun,Wed,2071.2,2160,2163,2060,2.34M,-0.0343
"Jun 08, 2021",Jun,Tue,2144.85,2130.95,2184,2122,6.49M,0.0239
"Jun 07, 2021",Jun,Mon,2094.8,1939,2113.85,1926.7,6.14M,0.0901
"Jun 04, 2021",Jun,Fri,1921.7,1937,1937,1913.55,359.62K,-0.0001
"Jun 03, 2021",Jun,Thu,1921.8,1928,1948.6,1916,549.95K,0.002
"Jun 02, 2021",Jun,Wed,1917.95,1899.95,1927.5,1895.25,576.76K,0.0123
"Jun 01, 2021",Jun,Tue,1894.6,1911.8,1922.65,1888,419.74K,-0.0045
"May 31, 2021",May,Mon,1903.2,1909.85,1919,1897.15,497.16K,0.0037
"May 28, 2021",May,Fri,1896.25,1928,1928.35,1888.85,671.28K,-0.0166
"May 27, 2021",May,Thu,1928.35,1900,1941.15,1876,2.28M,0.0181
"May 26, 2021",May,Wed,1894.05,1920,1930.05,1888,922.76K,-0.0073
"May 25, 2021",May,Tue,1907.95,1901.5,1914,1890,989.52K,0.0124
"May 24, 2021",May,Mon,1884.5,1870,1902.8,1867.4,1.27M,0.0121
"May 21, 2021",May,Fri,1862,1860,1894.7,1850.05,1.20M,0.0034
"May 20, 2021",May,Thu,1855.65,1862,1870.4,1822.8,959.83K,-0.0013
"May 19, 2021",May,Wed,1858.1,1844,1884.95,1840,2.10M,0.0126
"May 18, 2021",May,Tue,1835.05,1780,1842.75,1770.25,1.91M,0.0414
"May 17, 2021",May,Mon,1762.1,1763.15,1781,1743,774.81K,0.0083
"May 14, 2021",May,Fri,1747.65,1760,1774,1730,1.17M,0.0006
